player,position,season,Team,TOI,GF_60,GA_60,GPM_60,xGF_60,xGA_60,xGPM_60,CF_60,CA_60,CPM_60
ANDY.GREENE,D,20172018,N.J,1413.42,-0.109,0.047,-0.156,-0.004,-0.108,0.104,-1.19,1.51,-2.7
ANDY.GREENE,D,20182019,N.J,1325.57,-0.081,0.095,-0.175,0.061,0.053,0.008,-1.25,2.76,-4.01
ANDY.WELINSKI,D,20172018,ANA,102.65,-0.043,-0.014,-0.029,-0.102,-0.005,-0.098,-2.14,0.54,-2.69
ANDY.WELINSKI,D,20182019,ANA,392.3,-0.058,0.045,-0.102,-0.117,0.146,-0.263,0.55,0.92,-0.37
ANTHONY.BEAUVILLIER,F,20172018,NYI,902.98,0.133,0.144,-0.012,0.153,0.181,-0.028,2.59,3.34,-0.74
ANTHONY.BEAUVILLIER,F,20182019,NYI,1039.45,-0.042,0.065,-0.108,0.099,0.038,0.061,1.05,0.62,0.43
ANTHONY.BITETTO,D,20172018,NSH,421.18,-0.079,0.008,-0.086,-0.137,0.049,-0.186,-3.41,4.22,-7.63
ANTHONY.BITETTO,D,20182019,MIN/NSH,419.18,-0.108,0.085,-0.193,-0.097,0.15,-0.247,-2.08,1.25,-3.34
ANTHONY.CIRELLI,F,20172018,T.B,210.87,0.065,-0.083,0.148,-0.028,-0.053,0.025,-0.51,-0.11,-0.41
ANTHONY.CIRELLI,F,20182019,T.B,954.7,0.116,-0.099,0.215,0.073,-0.145,0.217,1.17,-2.9,4.07
ANTHONY.DUCLAIR,F,20172018,ARI/CHI,622.62,-0.058,-0.001,-0.057,-0.005,0.04,-0.045,1.26,1.5,-0.24
ANTHONY.DUCLAIR,F,20182019,CBJ/OTT,809.38,0.034,-0.019,0.053,-0.084,0.211,-0.295,-2.38,3.16,-5.54
ANTHONY.GRECO,F,20182019,FLA,9.5,-0.01,0.07,-0.08,0.012,0.004,0.008,0.44,-0.16,0.6
ANTHONY.MANTHA,F,20172018,DET,1178.77,0.084,-0.088,0.172,0.127,-0.081,0.208,1.15,-1.7,2.84
ANTHONY.MANTHA,F,20182019,DET,1000.82,-0.027,-0.012,-0.015,0.111,-0.059,0.17,3.58,-2.93,6.51
ANTHONY.PELUSO,F,20172018,WSH,9.28,-0.009,-0.008,-0.001,-0.02,-0.014,-0.006,-0.42,-0.46,0.05
ANTHONY.PELUSO,F,20182019,CGY,16.45,-0.017,0.01,-0.027,-0.016,-0.021,0.005,-0.24,-0.18,-0.06
ANTHONY.RICHARD,F,20182019,NSH,7.37,-0.009,0.021,-0.03,-0.015,-0.002,-0.014,-0.14,0.19,-0.34
ANTOINE.ROUSSEL,F,20172018,DAL,822.67,-0.113,-0.059,-0.054,0.069,-0.052,0.121,2.82,-0.53,3.36
ANTOINE.ROUSSEL,F,20182019,VAN,816.45,0.106,-0.095,0.201,-0.001,-0.184,0.182,1.6,-2.27,3.87
ANTOINE.VERMETTE,F,20172018,ANA,732.32,-0.099,-0.017,-0.082,-0.137,0.016,-0.153,-1.78,1.9,-3.68
ANTON.BLIDH,F,20172018,BOS,10.13,-0.01,-0.009,-0.001,-0.028,-0.023,-0.004,-0.58,-0.62,0.05
ANTON.BLIDH,F,20182019,BOS,12.33,-0.012,-0.012,0,-0.02,-0.015,-0.006,-0.48,-0.39,-0.09
ANTON.LINDHOLM,D,20172018,COL,547.13,-0.001,-0.051,0.05,-0.104,0.129,-0.233,-1.99,0.91,-2.89
ANTON.LINDHOLM,D,20182019,COL,12.68,-0.014,0.015,-0.029,0.053,0.016,0.037,0.6,0.31,0.29
ANTON.SLEPYSHEV,F,20172018,EDM,573.6,-0.042,-0.011,-0.031,0.134,0.2,-0.066,2.55,1.58,0.97
ANTON.STRALMAN,D,20172018,T.B,1437.65,0.226,0.035,0.191,0.067,-0.041,0.108,-1.14,-1.81,0.67
ANTON.STRALMAN,D,20182019,T.B,813.95,0.013,0.013,0,-0.067,0.09,-0.158,-1.64,2.04,-3.69
ANTTI.SUOMELA,F,20182019,S.J,301.52,-0.127,-0.148,0.021,0.046,0.083,-0.037,1.91,1.71,0.2
ANZE.KOPITAR,F,20172018,L.A,1341.63,0.115,-0.035,0.149,-0.007,-0.075,0.068,1.33,-1.92,3.25
ANZE.KOPITAR,F,20182019,L.A,1350.65,0.038,0.046,-0.008,0.056,0.117,-0.061,1.22,0.71,0.51
ARTEM.ANISIMOV,F,20172018,CHI,855.3,-0.077,0.052,-0.13,-0.069,0.154,-0.224,0.51,1.5,-1
ARTEM.ANISIMOV,F,20182019,CHI,1050.77,-0.144,-0.151,0.007,-0.057,0.144,-0.201,-1.03,1.36,-2.39
ARTEMI.PANARIN,F,20172018,CBJ,1353.3,0.086,-0.22,0.306,0.194,0.055,0.139,5.25,-2.01,7.27
ARTEMI.PANARIN,F,20182019,CBJ,1304.53,0.343,0.072,0.272,0.186,-0.008,0.194,4.64,-0.92,5.56
ARTTURI.LEHKONEN,F,20172018,MTL,842.4,-0.113,-0.092,-0.021,0.167,0.027,0.14,2.94,-0.07,3.01
ARTTURI.LEHKONEN,F,20182019,MTL,1023.4,0.054,-0.014,0.068,0.028,-0.107,0.135,1,-0.62,1.62
ASHTON.SAUTNER,D,20172018,VAN,66.47,0.061,-0.035,0.097,0.015,-0.03,0.045,-1.23,-0.29,-0.94
ASHTON.SAUTNER,D,20182019,VAN,242.42,-0.069,-0.048,-0.022,-0.099,-0.114,0.015,-1.1,-0.86,-0.24
AUSTIN.CZARNIK,F,20172018,BOS,98.42,-0.022,0.015,-0.037,0.093,0.038,0.055,0.09,-1.09,1.19
AUSTIN.CZARNIK,F,20182019,CGY,528.2,0.008,0.037,-0.029,0.021,-0.068,0.089,2.13,-1.52,3.65
AUSTIN.WAGNER,F,20182019,L.A,546.62,0.049,0,0.049,0.039,0.063,-0.024,-0.72,2.66,-3.38
